날짜,종목명,종목코드,시작날짜,시작가격
20220701,동일고무벨트,163560,20220701,6110
20220701,정원엔시스,45510,20220630,1345
20220704,에스와이,109610,20220704,2950
20220704,공구우먼,366030,20220627,10081
20220704,수젠텍,253840,20220704,10200
20220704,이화전기,24810,20220704,1025
20220705,나노씨엠에스,247660,20220705,21850
20220705,피코그램,376180,20220704,27100
20220705,공구우먼,366030,20220628,11817
20220705,케이옥션,102370,20220629,7871
20220705,모아데이타,288980,20220705,2392
20220705,뉴보텍,60260,20220705,941
20220706,골드앤에스,35290,20220706,1850
20220706,인포바인,115310,20220706,24850
20220706,아이퀘스트,262840,20220706,7490
20220706,모비릭스,348030,20220705,10300
20220706,알비더블유,361570,20220706,13200
20220706,모아데이타,288980,20220705,2392
20220706,케이옥션,102370,20220629,7871
20220706,싸이버원,356890,20220706,8570
20220707,우리산업홀딩스,72470,20220707,3560
20220707,신진에스엠,138070,20220707,4456
20220707,시디즈,134790,20220707,43450
20220707,삼영엠텍,54540,20220707,4130
20220707,유일로보틱스,388720,20220707,15450
20220708,세림B&G,340440,20220704,2865
20220708,바이오니아,64550,20220708,26300
20220708,씨엔플러스,115530,20220708,413
20220708,제넨바이오,72520,20220708,1765
20220708,승일,49830,20220706,10000
20220711,모비스,250060,20220707,1640
20220711,한국비엔씨,256840,20220705,7020
20220712,비투엔,307870,20220712,2120
20220712,오상자이엘,53980,20220705,4885
20220712,피엔케이피부임상연구센타,347740,20220712,4150
20220713,넵튠,217270,20220713,11250
20220713,지더블유바이텍,36180,20220713,783
20220714,조광ILI,44060,20220714,2135
20220714,케이티알파,36030,20220714,5220
20220714,실리콘투,257720,20220714,4076
20220715,세종메디칼,258830,20220715,4720
20220715,조광ILI,44060,20220714,2135
20220715,실리콘투,257720,20220714,4076
20220718,박셀바이오,323990,20220718,41700
20220718,조광ILI,44060,20220714,2135
20220718,동일기연,32960,20220718,11100
20220719,모아텍,33200,20220719,5700
20220719,모아데이타,288980,20220715,3376
20220719,양지사,30960,20220718,7200
20220719,모비릭스,348030,20220719,13500
20220720,대성창투,27830,20220720,3465
20220720,대동전자,8110,20220720,6230
20220720,대한과학,131220,20220720,8400
20220720,청담글로벌,362320,20220720,7800
20220721,모아데이타,288980,20220715,3376
20220721,메가엠디,133750,20220721,2765
20220721,인콘,83640,20220721,1060
20220722,평화홀딩스,10770,20220722,3300
20220722,평화산업,90080,20220722,1385
20220725,금양,1570,20220725,5520
20220725,비덴트,121800,20220725,9170
20220726,피엔케이피부임상연구센타,347740,20220726,5000
20220726,금양,1570,20220725,5520
20220726,플래스크,41590,20220726,1460
20220726,에이팩트,200470,20220726,4100
20220727,셀레믹스,331920,20220727,7670
20220727,지투파워,388050,20220727,7185
20220727,비플라이소프트,148780,20220720,2560
20220727,뉴인텍,12340,20220727,3195
20220727,엔지켐생명과학,183490,20220727,3359
20220728,미래나노텍,95500,20220728,6740
20220728,조일알미늄,18470,20220728,1715
20220729,대명에너지,389260,20220729,14700
20220729,압타바이오,293780,20220727,16300
20220729,센트랄모텍,308170,20220729,15500
20220801,현대바이오랜드,52260,20220801,12500
20220801,국일신동,60480,20220801,3100
20220801,성안,11300,20220801,728
20220801,제닉,123330,20220728,4020
20220802,유일로보틱스,388720,20220802,24400
20220802,아스플로,159010,20220802,8321
20220802,까스텔바작,308100,20220802,9200
20220803,에스티큐브,52020,20220802,13050
20220803,케이피에프,24880,20220803,7260
20220803,크라운제과,264900,20220803,8590
20220804,알에프세미,96610,20220804,3455
20220804,위메이드맥스,101730,20220804,17200
20220804,코이즈,121850,20220804,3160
20220804,한창바이오텍,43090,20220804,2065
20220805,코닉오토메이션,391710,20220805,2700
20220805,이노시스,56090,20220805,2610
20220805,한창바이오텍,43090,20220804,2065
20220808,한국정보통신,25770,20220808,7480
20220808,이노시스,56090,20220805,2610
20220808,한창바이오텍,43090,20220804,2065
20220809,대동전자,8110,20220809,11300
20220810,양지사,30960,20220810,10900
20220810,새빗켐,107600,20220810,67400
20220810,지투파워,388050,20220810,9219
20220811,대명에너지,389260,20220811,20250
20220811,지투파워,388050,20220810,9219
20220812,지투파워,388050,20220810,9219
20220812,휴스틸,5010,20220812,4470
20220812,CBI,13720,20220812,505
20220816,메가엠디,133750,20220816,3145
20220817,엔지켐생명과학,183490,20220817,3384
20220817,미투온,201490,20220817,4765
20220817,폴라리스우노,114630,20220817,1224
20220818,아가방컴퍼니,13990,20220818,3340
20220819,퀀타매트릭스,317690,20220819,6240
20220819,세종텔레콤,36630,20220819,525
20220819,대동전자,8110,20220819,14450
20220823,씨이랩,189330,20220823,12000
20220823,중앙에너비스,440,20220823,21400
20220823,일승,333430,20220818,3700
20220824,에스트래픽,234300,20220824,3980
20220825,하나기술,299030,20220825,55600
20220825,유틸렉스,263050,20220818,5820
20220826,한미글로벌,53690,20220826,13800
20220826,세아특수강,19440,20220826,15150
20220830,앱클론,174900,20220830,16700
20220901,광림,14200,20220901,1305
20220901,비엘팜텍,65170,20220901,860
20220901,폴라리스우노,114630,20220901,1395
20220902,코리아에스이,101670,20220901,2750
20220905,삼영에스앤씨,361670,20220905,6790
20220905,일성신약,3120,20220905,87000
20220905,나노엔텍,39860,20220905,4845
20220905,코리아에스이,101670,20220901,2750
20220906,코리아에프티,123410,20220906,2660
20220906,나노씨엠에스,247660,20220906,23300
20220906,알엔투테크놀로지,148250,20220906,8380
20220907,골드앤에스,35290,20220907,3040
20220907,코리아에스이,101670,20220901,2750
20220907,예선테크,250930,20220907,1260
20220907,한국정보통신,25770,20220907,10900
20220908,HLB글로벌,3580,20220908,7510
20220908,나노,187790,20220908,1100
20220913,에스티큐브,52020,20220913,12000
20220913,코리아에스이,101670,20220902,3550
20220913,코닉오토메이션,391710,20220908,4145
20220913,대모,317850,20220913,6820
20220913,파멥신,208340,20220913,2945
20220913,예선테크,250930,20220907,1260
20220914,유라테크,48430,20220913,6530
20220914,소마젠,950200,20220914,5060
20220914,동국산업,5160,20220914,3840
20220914,미디어젠,279600,20220914,10300
20220914,세원이앤씨,91090,20220914,757
20220915,에이텍티앤,224110,20220915,11000
20220915,리노스,39980,20220915,953
20220916,코리아에스이,101670,20220907,6600
20220919,양지사,30960,20220915,19150
20220919,화천기계,10660,20220919,3110
20220920,엘엠에스,73110,20220920,7210
20220920,화천기계,10660,20220919,3110
20220920,이스트아시아홀딩스,900110,20220920,167
20220920,양지사,30960,20220915,19150
20220920,YTN,40300,20220919,3815
20220920,썸에이지,208640,20220920,1125
20220921,iMBC,52220,20220921,3205
20220921,화천기계,10660,20220919,3110
20220921,YTN,40300,20220919,3815
20220921,삼보모터스,53700,20220921,4905
20220921,WI,73570,20220920,906
20220922,한일사료,5860,20220922,5310
20220922,코스나인,82660,20220922,592
20220922,WI,73570,20220920,906
20220922,넥스트칩,396270,20220922,9760
20220922,일성신약,3120,20220922,95400
20220923,문배철강,8420,20220923,3755
20220923,이브이첨단소재,131400,20220923,1705
20220923,앤씨앤,92600,20220923,2010
20220926,카나리아바이오,16790,20220926,14700
20220926,STX,11810,20220926,2925
20220927,지니틱스,303030,20220927,2070
20220927,코닉오토메이션,391710,20220927,4435
20220927,오픈엣지테크놀로지,394280,20220927,10050
20220928,그린케미칼,83420,20220928,6970
20220928,유틸렉스,263050,20220928,5960
20220928,iMBC,52220,20220921,3205
20220928,샘표,7540,20220928,40750
20220928,코리아에스이,101670,20220928,9460
20220929,SCI평가정보,36120,20220926,2905
20220929,피플바이오,304840,20220929,7260
20220929,이노시스,56090,20220927,1270
20220929,대화제약,67080,20220929,9120
20220930,WI,73570,20220930,1800
20220930,오성첨단소재,52420,20220930,1655
20220930,엔젠바이오,354200,20220930,6560
20220930,KBG,318000,20220930,4500
20220930,캐스텍코리아,71850,20220930,1505
20220930,미래아이앤지,7120,20220930,226
20221004,디아이씨,92200,20221004,3100
20221004,WI,73570,20220930,1800
20221004,셀루메드,49180,20221004,3980
20221004,라닉스,317120,20221004,5090
20221004,오픈엣지테크놀로지,394280,20220927,10050
20221005,다이나믹디자인,145210,20221005,4900
20221005,미코,59090,20221005,6170
20221005,프롬바이오,377220,20221005,6660
20221005,알티캐스트,85810,20221005,1425
20221006,코디엠,224060,20221006,365
20221006,EDGC,245620,20221006,1755
20221006,중앙디앤엠,51980,20221006,392
20221006,스킨앤스킨,159910,20221006,170
20221007,넥스턴바이오,89140,20221004,1780
20221007,에스퓨얼셀,288620,20221007,18300
20221007,양지사,30960,20220930,29850
20221007,CBI,13720,20221007,280
20221011,동국알앤에스,75970,20221011,3445
20221011,코아스템,166480,20221011,8800
